"","test","Nsim","k1","k2","lambda1","lambda2","pval","alpha"
"1","BM",100000,2,20,0.0786438172652479,0.921356182734752,0.499641412368366,0.05074
"2","T",100000,2,20,0.0786438172652479,0.921356182734752,0.00108738868488363,0.99641
"3","WMW",100000,2,20,0.0786438172652479,0.921356182734752,0.471728430700532,0.07362
"4","Welch",100000,2,20,0.0786438172652479,0.921356182734752,0.00109695487222983,0.9964
