"","test","Nsim","k1","k2","lambda1","lambda2","pval","alpha"
"1","BM",100000,2,10,1.47963425430651,8.52036574569349,0.499704642932909,0.05007
"2","T",100000,2,10,1.47963425430651,8.52036574569349,0.00483233617917202,0.97922
"3","WMW",100000,2,10,1.47963425430651,8.52036574569349,0.482496423901847,0.06288
"4","Welch",100000,2,10,1.47963425430651,8.52036574569349,0.00485114084955343,0.97915
