"","test","Nsim","k1","k2","lambda1","lambda2","pval","alpha"
"1","BM",100000,5,10,3.25751155286314,6.74248844713686,0.499797715160431,0.04932
"2","T",100000,5,10,3.25751155286314,6.74248844713686,0.271715101144317,0.28221
"3","WMW",100000,5,10,3.25751155286314,6.74248844713686,0.495915214986845,0.05208
"4","Welch",100000,5,10,3.25751155286314,6.74248844713686,0.271741783087603,0.28212
