"","k1","k2","lambda1","lambda2","mean1","mean2","mean.diff","mean.ratio","std1","std2","std.ratio","skew1","skew2","skew.ratio","kur1","kur2","kur.ratio"
"1",1,1,0.05,0.05,20,20,0,1,20,20,1,2,2,1,6,6,1
"2",1,1,0.5,0.5,2,2,0,1,2,2,1,2,2,1,6,6,1
"3",1,1,2.5,2.5,0.4,0.4,0,1,0.4,0.4,1,2,2,1,6,6,1
"4",1,1,5,5,0.2,0.2,0,1,0.2,0.2,1,2,2,1,6,6,1
"5",1,2,0.0292893218813452,0.0707106781186548,34.142135623731,28.2842712474619,5.85786437626906,1.20710678118655,34.142135623731,20,1.70710678118655,2,1.4142135623731,1.4142135623731,6,3,2
"6",1,2,0.292893218813452,0.707106781186548,3.4142135623731,2.82842712474619,0.585786437626906,1.20710678118655,3.4142135623731,2,1.70710678118655,2,1.4142135623731,1.4142135623731,6,3,2
"7",1,2,1.46446609406726,3.53553390593274,0.682842712474619,0.565685424949238,0.117157287525381,1.20710678118655,0.682842712474619,0.4,1.70710678118655,2,1.4142135623731,1.4142135623731,6,3,2
"8",1,2,2.92893218813452,7.07106781186548,0.34142135623731,0.282842712474619,0.0585786437626905,1.20710678118655,0.34142135623731,0.2,1.70710678118655,2,1.4142135623731,1.4142135623731,6,3,2
"9",1,5,0.0129449436703873,0.0870550563296127,77.2502395887272,57.4349177498516,19.8153218388756,1.34500479177454,77.2502395887272,25.6856760741555,3.00752214447083,2,0.894427190999916,2.23606797749979,6,1.2,5
"10",1,5,0.129449436703873,0.870550563296127,7.72502395887272,5.74349177498516,1.98153218388756,1.34500479177454,7.72502395887272,2.56856760741555,3.00752214447083,2,0.894427190999916,2.23606797749979,6,1.2,5
"11",1,5,0.647247183519367,4.35275281648063,1.54500479177454,1.14869835499703,0.396306436777512,1.34500479177454,1.54500479177454,0.51371352148311,3.00752214447083,2,0.894427190999916,2.23606797749979,6,1.2,5
"12",1,5,1.29449436703873,8.70550563296127,0.772502395887272,0.574349177498516,0.198153218388756,1.34500479177454,0.772502395887272,0.256856760741555,3.00752214447083,2,0.894427190999916,2.23606797749979,6,1.2,5
"13",1,10,0.00669670084631934,0.0933032991536807,149.327261729128,107.177346253629,42.1499154754985,1.39327261729128,149.327261729128,33.8924527733983,4.40591487218454,2,0.632455532033676,3.16227766016838,6,0.6,10
"14",1,10,0.0669670084631934,0.933032991536807,14.9327261729128,10.7177346253629,4.21499154754985,1.39327261729128,14.9327261729128,3.38924527733983,4.40591487218454,2,0.632455532033676,3.16227766016838,6,0.6,10
"15",1,10,0.334835042315967,4.66516495768403,2.98654523458256,2.14354692507259,0.84299830950997,1.39327261729128,2.98654523458256,0.677849055467967,4.40591487218454,2,0.632455532033676,3.16227766016838,6,0.6,10
"16",1,10,0.669670084631934,9.33032991536807,1.49327261729128,1.07177346253629,0.421499154754985,1.39327261729128,1.49327261729128,0.338924527733983,4.40591487218454,2,0.632455532033676,3.16227766016838,6,0.6,10
"17",1,20,0.00340636710751545,0.0965936328924846,293.567888732164,207.052984768276,86.5149039638887,1.41783944366082,293.567888732164,46.2984548886093,6.34077075441216,2,0.447213595499958,4.47213595499958,6,0.3,20
"18",1,20,0.0340636710751545,0.965936328924845,29.3567888732164,20.7052984768276,8.65149039638887,1.41783944366082,29.3567888732164,4.62984548886093,6.34077075441216,2,0.447213595499958,4.47213595499958,6,0.3,20
"19",1,20,0.170318355375773,4.82968164462423,5.87135777464328,4.14105969536551,1.73029807927777,1.41783944366082,5.87135777464328,0.925969097772185,6.34077075441216,2,0.447213595499958,4.47213595499958,6,0.3,20
"20",1,20,0.340636710751545,9.65936328924846,2.93567888732164,2.07052984768276,0.865149039638887,1.41783944366082,2.93567888732164,0.462984548886093,6.34077075441216,2,0.447213595499958,4.47213595499958,6,0.3,20
"21",2,2,0.05,0.05,40,40,0,1,28.2842712474619,28.2842712474619,1,1.4142135623731,1.4142135623731,1,3,3,1
"22",2,2,0.5,0.5,4,4,0,1,2.82842712474619,2.82842712474619,1,1.4142135623731,1.4142135623731,1,3,3,1
"23",2,2,2.5,2.5,0.8,0.8,0,1,0.565685424949238,0.565685424949238,1,1.4142135623731,1.4142135623731,1,3,3,1
"24",2,2,5,5,0.4,0.4,0,1,0.282842712474619,0.282842712474619,1,1.4142135623731,1.4142135623731,1,3,3,1
"25",2,5,0.026444998329566,0.073555001670434,75.6286680405635,67.9763426884645,7.65232535209906,1.11257336081127,53.4775440235888,30.3999446226455,1.75913294209597,1.4142135623731,0.894427190999916,1.58113883008419,3,1.2,2.5
"26",2,5,0.26444998329566,0.73555001670434,7.56286680405635,6.79763426884645,0.765232535209907,1.11257336081127,5.34775440235888,3.03999446226455,1.75913294209597,1.4142135623731,0.894427190999916,1.58113883008419,3,1.2,2.5
"27",2,5,1.3222499164783,3.6777500835217,1.51257336081127,1.35952685376929,0.153046507041981,1.11257336081127,1.06955088047178,0.607998892452909,1.75913294209597,1.4142135623731,0.894427190999916,1.58113883008419,3,1.2,2.5
"28",2,5,2.6444998329566,7.3555001670434,0.756286680405635,0.679763426884645,0.0765232535209907,1.11257336081127,0.534775440235888,0.303999446226455,1.75913294209597,1.4142135623731,0.894427190999916,1.58113883008419,3,1.2,2.5
"29",2,10,0.0147963425430651,0.0852036574569349,135.168538723604,117.365853749346,17.802684974258,1.15168538723604,95.5785903345368,37.1143417378146,2.57524681455295,1.4142135623731,0.632455532033676,2.23606797749979,3,0.6,5
