"","test","Nsim","k1","k2","lambda1","lambda2","pval","alpha"
"1","BM",100000,5,5,5.00000000000002,4.99999999999998,0.49836213983979,0.05107
"2","T",100000,5,5,5.00000000000002,4.99999999999998,0.498354793704726,0.05184
"3","WMW",100000,5,5,5.00000000000002,4.99999999999998,0.498106451550776,0.05091
"4","Welch",100000,5,5,5.00000000000002,4.99999999999998,0.498355363227666,0.05184
