"","test","Nsim","k1","k2","lambda1","lambda2","pval","alpha"
"1","BM",100000,2,2,5,5,0.499443855942458,0.04922
"2","T",100000,2,2,5,5,0.499367381259357,0.04885
"3","WMW",100000,2,2,5,5,0.499187103178233,0.04907
"4","Welch",100000,2,2,5,5,0.49936832612533,0.04885
