"","test","Nsim","k1","k2","lambda1","lambda2","pval","alpha"
"1","BM",100000,2,5,1.3222499164783,3.6777500835217,0.50032206549391,0.04923
"2","T",100000,2,5,1.3222499164783,3.6777500835217,0.0449482139956577,0.8027
"3","WMW",100000,2,5,1.3222499164783,3.6777500835217,0.493364342719914,0.05428
"4","Welch",100000,2,5,1.3222499164783,3.6777500835217,0.0449790912997704,0.80252
