"","test","Nsim","k1","k2","lambda1","lambda2","pval","alpha"
"1","BM",100000,1,20,0.00340636710751545,0.0965936328924846,0.500728618386059,0.0501
"2","T",100000,1,20,0.00340636710751545,0.0965936328924846,4.7152571095272e-07,1
"3","WMW",100000,1,20,0.00340636710751545,0.0965936328924846,0.461944248027078,0.08259
"4","Welch",100000,1,20,0.00340636710751545,0.0965936328924846,5.00474029474974e-07,1
