"","test","Nsim","k1","k2","lambda1","lambda2","pval","alpha"
"1","BM",100000,10,10,4.99999999999672,5.00000000000328,0.501517939878655,0.04938
"2","T",100000,10,10,4.99999999999672,5.00000000000328,0.50044491362321,0.04895
"3","WMW",100000,10,10,4.99999999999672,5.00000000000328,0.501261033339818,0.04924
"4","Welch",100000,10,10,4.99999999999672,5.00000000000328,0.500445356969124,0.04895
