"","test","Nsim","k1","k2","lambda1","lambda2","pval","alpha"
"1","BM",100000,2,10,0.147963425430651,0.852036574569349,0.499970606765334,0.05068
"2","T",100000,2,10,0.147963425430651,0.852036574569349,0.0047895541223227,0.97907
"3","WMW",100000,2,10,0.147963425430651,0.852036574569349,0.48278859263788,0.0631
"4","Welch",100000,2,10,0.147963425430651,0.852036574569349,0.00480845994904041,0.97899
