"","test","Nsim","k1","k2","lambda1","lambda2","pval","alpha"
"1","BM",100000,20,20,5.00000049450017,4.99999950549983,0.497884636028489,0.05123
"2","T",100000,20,20,5.00000049450017,4.99999950549983,0.497212572344232,0.0519
"3","WMW",100000,20,20,5.00000049450017,4.99999950549983,0.497630056106627,0.05113
"4","Welch",100000,20,20,5.00000049450017,4.99999950549983,0.497212959247847,0.0519
