"","test","Nsim","k1","k2","lambda1","lambda2","pval","alpha"
"1","BM",100000,1,10,0.0669670084631934,0.933032991536807,0.50122613398192,0.04876
"2","T",100000,1,10,0.0669670084631934,0.933032991536807,2.73119377839393e-06,1
"3","WMW",100000,1,10,0.0669670084631934,0.933032991536807,0.471466929466855,0.07278
"4","Welch",100000,1,10,0.0669670084631934,0.933032991536807,2.82873411203029e-06,1
