"","test","Nsim","k1","k2","lambda1","lambda2","pval","alpha"
"1","BM",100000,2,2,0.5,0.5,0.499739743405822,0.05058
"2","T",100000,2,2,0.5,0.5,0.498542351429376,0.05093
"3","WMW",100000,2,2,0.5,0.5,0.499483260947337,0.05038
"4","Welch",100000,2,2,0.5,0.5,0.498543299291296,0.05093
