"","test","Nsim","k1","k2","lambda1","lambda2","pval","alpha"
"1","BM",100000,5,20,0.191924059765616,0.808075940234384,0.500158828041738,0.05049
"2","T",100000,5,20,0.191924059765616,0.808075940234384,0.102431240050649,0.61875
"3","WMW",100000,5,20,0.191924059765616,0.808075940234384,0.487382414416808,0.06033
"4","Welch",100000,5,20,0.191924059765616,0.808075940234384,0.102499014751065,0.61837
