"","test","Nsim","k1","k2","lambda1","lambda2","pval","alpha"
"1","BM",100000,1,10,0.669670084631934,9.33032991536807,0.498659235120618,0.05104
"2","T",100000,1,10,0.669670084631934,9.33032991536807,2.21068848402711e-06,1
"3","WMW",100000,1,10,0.669670084631934,9.33032991536807,0.468934463020082,0.07484
"4","Welch",100000,1,10,0.669670084631934,9.33032991536807,2.30612434295854e-06,1
