"","test","Nsim","k1","k2","lambda1","lambda2","pval","alpha"
"1","BM",100000,1,1,0.05,0.05,0.500559289825706,0.04929
"2","T",100000,1,1,0.05,0.05,0.500360946449148,0.04912
"3","WMW",100000,1,1,0.05,0.05,0.500302328493748,0.04915
"4","Welch",100000,1,1,0.05,0.05,0.500362482232415,0.04912
