"","test","Nsim","k1","k2","lambda1","lambda2","pval","alpha"
"1","BM",100000,2,2,0.05,0.05,0.500992815234271,0.05037
"2","T",100000,2,2,0.05,0.05,0.501283011762434,0.04932
"3","WMW",100000,2,2,0.05,0.05,0.500736556220506,0.05026
"4","Welch",100000,2,2,0.05,0.05,0.501283942309268,0.04932
