"","test","Nsim","k1","k2","lambda1","lambda2","pval","alpha"
"1","BM",100000,1,5,0.129449436703873,0.870550563296127,0.499637498811247,0.05088
"2","T",100000,1,5,0.129449436703873,0.870550563296127,4.0926167157892e-05,0.99995
"3","WMW",100000,1,5,0.129449436703873,0.870550563296127,0.480729863931426,0.06534
"4","Welch",100000,1,5,0.129449436703873,0.870550563296127,4.16238535376049e-05,0.99995
